PLAYER_NAME,Rank,GAME_ID,Date,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
LaMarcus Aldridge,8,21300150,11/18/2013,1610612757,POR,Portland,200746,F,,35:01:00,9,16,0.563,0,0,0,9,9,1,2,6,8,0,0,2,4,4,27,-3
LaMarcus Aldridge,8,21300167,11/20/2013,1610612757,POR,Portland,200746,F,,35:11:00,10,22,0.455,0,1,0,1,2,0.5,3,4,7,3,2,1,2,1,21,6
LaMarcus Aldridge,8,21300185,11/22/2013,1610612757,POR,Portland,200746,F,,40:26:00,4,20,0.2,0,0,0,4,4,1,2,4,6,4,3,1,2,1,12,4
LaMarcus Aldridge,8,21300196,11/23/2013,1610612757,POR,Portland,200746,F,,40:13:00,7,21,0.333,0,0,0,16,19,0.842,6,15,21,3,2,3,5,2,30,20
LaMarcus Aldridge,8,21300210,11/25/2013,1610612757,POR,Portland,200746,F,,36:37:00,7,20,0.35,0,0,0,4,4,1,2,12,14,3,0,1,2,3,18,1
LaMarcus Aldridge,8,21300226,11/27/2013,1610612757,POR,Portland,200746,F,,36:55:00,10,18,0.556,0,0,0,4,5,0.8,1,3,4,0,1,0,1,2,24,-17
LaMarcus Aldridge,8,21300255,12/1/2013,1610612757,POR,Portland,200746,F,,35:32:00,11,19,0.579,0,0,0,5,6,0.833,0,9,9,3,0,0,1,2,27,11
LaMarcus Aldridge,8,21300260,12/2/2013,1610612757,POR,Portland,200746,F,,36:46:00,11,19,0.579,0,0,0,6,8,0.75,0,10,10,3,1,1,0,0,28,-3
LaMarcus Aldridge,8,21300276,12/4/2013,1610612757,POR,Portland,200746,F,,37:03:00,17,28,0.607,0,0,0,4,4,1,3,10,13,5,2,0,0,1,38,10
LaMarcus Aldridge,8,21300288,12/6/2013,1610612757,POR,Portland,200746,F,,29:07:00,7,14,0.5,0,0,0,6,7,0.857,3,12,15,4,2,0,0,0,20,45
LaMarcus Aldridge,8,21300298,12/7/2013,1610612757,POR,Portland,200746,F,,38:15:00,7,16,0.438,0,0,0,5,6,0.833,4,9,13,2,1,0,3,2,19,-2
LaMarcus Aldridge,8,21300308,12/9/2013,1610612757,POR,Portland,200746,F,,34:13:00,10,18,0.556,0,0,0,4,4,1,3,3,6,4,0,0,0,0,24,16
LaMarcus Aldridge,8,21300328,12/12/2013,1610612757,POR,Portland,200746,F,,41:03:00,12,22,0.545,0,0,0,7,9,0.778,5,20,25,2,2,2,1,3,31,16
LaMarcus Aldridge,8,21300347,12/14/2013,1610612757,POR,Portland,200746,F,,28:44:00,10,15,0.667,0,0,0,0,1,0,6,10,16,5,1,1,3,3,20,27
LaMarcus Aldridge,8,21300352,12/15/2013,1610612757,POR,Portland,200746,F,,42:59:00,11,25,0.44,0,0,0,5,6,0.833,3,9,12,2,0,3,3,3,27,10
LaMarcus Aldridge,8,21300365,12/17/2013,1610612757,POR,Portland,200746,F,,36:39:00,11,22,0.5,0,0,0,4,6,0.667,4,11,15,4,1,1,3,3,26,5
LaMarcus Aldridge,8,21300376,12/18/2013,1610612757,POR,Portland,200746,F,,42:20:00,7,22,0.318,0,1,0,1,1,1,4,10,14,3,1,0,0,3,15,2
LaMarcus Aldridge,8,21300401,12/21/2013,1610612757,POR,Portland,200746,F,,37:45:00,8,24,0.333,0,1,0,2,2,1,1,7,8,4,1,0,0,2,18,2
LaMarcus Aldridge,8,21300426,12/26/2013,1610612757,POR,Portland,200746,F,,40:20:00,15,31,0.484,0,1,0,2,2,1,3,7,10,4,0,0,0,4,32,10
LaMarcus Aldridge,8,21300446,12/28/2013,1610612757,POR,Portland,200746,F,,36:52:00,9,20,0.45,0,0,0,4,4,1,1,6,7,4,0,1,2,2,22,-4
LaMarcus Aldridge,8,21300456,12/30/2013,1610612757,POR,Portland,200746,F,,39:14:00,13,25,0.52,0,0,0,2,3,0.667,2,6,8,3,0,2,0,1,28,-1
LaMarcus Aldridge,8,21300466,12/31/2013,1610612757,POR,Portland,200746,F,,39:43:00,10,23,0.435,0,0,0,5,6,0.833,2,12,14,2,0,2,0,3,25,6
LaMarcus Aldridge,8,21300480,1/2/2014,1610612757,POR,Portland,200746,F,,28:24:00,5,13,0.385,0,1,0,0,0,0,2,13,15,3,0,0,0,3,10,17
LaMarcus Aldridge,8,21300496,1/4/2014,1610612757,POR,Portland,200746,F,,36:52:00,13,30,0.433,0,0,0,3,3,1,0,14,14,3,0,5,3,0,29,-6
LaMarcus Aldridge,8,21300519,1/7/2014,1610612757,POR,Portland,200746,F,,39:07:00,8,20,0.4,0,0,0,8,10,0.8,3,5,8,5,0,1,4,4,24,6
LaMarcus Aldridge,8,21300527,1/8/2014,1610612757,POR,Portland,200746,F,,34:54:00,16,25,0.64,0,0,0,4,4,1,0,9,9,1,1,3,0,1,36,11
LaMarcus Aldridge,8,21300551,1/11/2014,1610612757,POR,Portland,200746,F,,37:34:00,8,15,0.533,0,0,0,5,6,0.833,2,11,13,4,0,1,0,1,21,12
